Date,Description,Original Description,Amount,Type,Parent Category,Category
4/9/23,Facebooktec,PAYPAL *FACEBOOKTEC      402-935-7733 CA ,9.99,Debit,Entertainment,Oculus
4/8/23,Oculus,OCULUS *CYENKN32G2       oculus.com   CA ,4.99,Debit,Entertainment,Entertainment
4/7/23,Oculus,OCULUS *DHGXJNXZF2       oculus.com   CA ,21.39,Debit,Entertainment,Entertainment
4/3/23,Facebooktec,PAYPAL *FACEBOOKTEC      402-935-7733 CA ,9.99,Debit,Entertainment,Oculus
4/26/23,Oculus,OCULUS *BLTM6P72G2       oculus.com   CA ,8.55,Debit,Entertainment,Entertainment
4/25/23,Facebooktec,PAYPAL *FACEBOOKTEC      402-935-7733 CA ,19.99,Debit,Entertainment,Oculus
4/24/23,Oculus,OCULUS *XX7BXNTZF2       oculus.com   CA ,19.99,Debit,Entertainment,Entertainment
4/21/23,Facebooktec,PAYPAL *FACEBOOKTEC      402-935-7733 CA ,19.99,Debit,Entertainment,Oculus
4/2/23,Oculus,OCULUS *7KHUBNTZF2       oculus.com   CA ,21.39,Debit,Entertainment,Entertainment
4/16/23,Facebooktec,PAYPAL *FACEBOOKTEC      402-935-7733 CA ,19.99,Debit,Entertainment,Oculus
4/14/23,Oculus,OCULUS *N7U3CNPZF2       oculus.com   CA ,19.99,Debit,Entertainment,Entertainment
4/14/23,Oculus,OCULUS *DQ6JNNTZF2       oculus.com   CA ,19.99,Debit,Entertainment,Entertainment
